ID;Descrição;Preço em R$
138;Placa-Mãe Msi Pro H510m-B, Intel LGA 1200, Matx, DDR4, M.2, VGA/HDMI, , Chipset H470 - 911-7e05-004;520,28
139;Placa Mãe Duex Dxh110zg, M.2 Chipset, H110, Intel 1151, DDR4;521,90
140;Placa-Mãe Gigabyte Z790 Gaming X AX, Intel LGA 1700, ATX, DDR5, Bluetooth 5.3;2.527,74
141;Placa-Mãe Gigabyte B650 Aorus Elite AX, AMD AM5, ATX, DDR5;3.034,96
142;Placa-Mãe Biostar, Intel 1151 H310MHP, DDR4, HDMI e VGA, 9ª Geração;378,25
143;Placa-Mãe Gigabyte B650 Aero G, AMD Am5, Atx, Ddr5;3.451,46
144;Placa Mae Reference B550-gm2, Gigabit, M.2, AMD, Am4, Matx, DDR4;765,34
145;Placa Mãe Gigabyte B760M Gaming X, Intel LGA 1700 MATX, DDR4, AX Wifi;1.697,06
146;Placa-Mãe Oem H61m, Intel I3/I5/I7 2ª/3ª Geração, LGA1155, DDR3;435,00
147;Placa-Mãe Gigabyte H410m H V3, Intel 10ª Geração, LGA 1200/Matx, DDR4;645,04
148;Placa Mãe Star Intel 1700 H610 M.2, 2x DDR4, HDMI, 12° Geração - H610g611;471,75
149;Placa Mae H510 Mini Itx 17x17cm,Megaview;749,00
150;Placa-Mãe Gigabyte A520, AMD AM4, DDR4 - A520M-H;602,10
151;Placa Mãe Asrock, AMD, B450, Chip-montagem De Micro, ATX, B450m Pro4;1.317,37
152;Placa-Mãe MSI PRO-E, Intel Core 10ª Geração LGA 1200, mATX, DDR4 4800 OC, Chipset B560, USB 3.2, Slot M.2 - B560M;528,12
153;Placa-Mãe Asus Prime H770-plus D4, Intel Lga1700, Chipset H770, DDR4 - Prime H770-plus D4;1.462,50
154;Placa-Mãe Biostar, Intel LGA 1200, ITX, HDMI e VGA, M.2 - Z490T-SILVER;2.900,00
155;Placa-Mãe Afox, Intel LGA 1155, mATX, DDR3, VGA e HDMI - H61-MA5;306,84
